"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","11,252,488","100"
"2","apple.com","4,367,906","100"
"3","youtube.com","16,826,216","100"
"4","microsoft.com","3,988,120","99"
"5","play.google.com","2,217,422","99"
"6","support.google.com","4,110,801","99"
"7","www.blogger.com","23,786,839","99"
"8","docs.google.com","2,113,292","99"
"9","adobe.com","2,909,017","98"
"10","plus.google.com","12,944,240","98"
"11","linkedin.com","8,251,909","98"
"12","en.wikipedia.org","5,311,295","98"
"13","wordpress.org","9,165,910","98"
"14","mozilla.org","1,855,875","98"
"15","accounts.google.com","2,522,545","98"
"16","drive.google.com","1,597,107","97"
"17","googleusercontent.com","2,104,013","97"
"18","bp.blogspot.com","15,324,037","97"
"19","cloudflare.com","4,064,933","97"
"20","sites.google.com","1,595,438","97"
"21","youtu.be","3,571,373","97"
"22","vimeo.com","3,020,490","97"
"23","github.com","1,834,383","97"
"24","maps.google.com","4,376,951","97"
"25","bbc.co.uk","1,391,094","96"
"26","amazon.com","3,910,488","96"
"27","istockphoto.com","2,961,701","96"
"28","facebook.com","44,099,039","96"
"29","vk.com","1,597,582","96"
"30","creativecommons.org","1,489,357","96"
"31","dailymotion.com","1,061,601","96"
"32","live.com","731,208","96"
"33","line.me","518,692","96"
"34","europa.eu","1,612,600","96"
"35","mail.google.com","414,426","95"
"36","t.me","416,342","95"
"37","news.yahoo.com","562,922","95"
"38","hugedomains.com","5,288,215","95"
"39","medium.com","1,022,814","95"
"40","gstatic.com","567,542","95"
"41","msn.com","981,120","95"
"42","w3.org","1,044,515","95"
"43","forbes.com","882,556","95"
"44","slideshare.net","848,601","95"
"45","www.yahoo.com","910,260","95"
"46","policies.google.com","1,000,530","95"
"47","photos.google.com","226,093","95"
"48","buydomains.com","1,196,572","95"
"49","uol.com.br","531,751","95"
"50","wikimedia.org","1,325,006","95"
"51","fr.wikipedia.org","508,984","95"
"52","feedburner.com","1,733,472","95"
"53","washingtonpost.com","840,478","95"
"54","es.wikipedia.org","746,084","95"
"55","imdb.com","1,221,884","95"
"56","nytimes.com","1,636,251","95"
"57","theguardian.com","1,159,528","95"
"58","google.de","1,090,666","95"
"59","pt.wikipedia.org","350,706","95"
"60","google.es","403,426","95"
"61","mail.ru","479,496","95"
"62","google.co.jp","621,038","95"
"63","amazon.co.jp","752,669","95"
"64","networkadvertising.org","716,807","95"
"65","bbc.com","618,358","95"
"66","cnn.com","1,178,457","95"
"67","reuters.com","706,583","95"
"68","developers.google.com","849,601","95"
"69","news.google.com","667,136","95"
"70","google.com.br","262,772","95"
"71","dropbox.com","903,390","95"
"72","paypal.com","856,526","95"
"73","myspace.com","1,281,851","95"
